Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/11/2018;13/12/2018;11/11/2018 01:01;8fa05d566df94922a8721b42ed0e7c7e;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/12/2018;13/01/2019;11/11/2018 01:01;8cb5f50ac72943feb6bd40d7d2e0fbc7;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/01/2019;13/02/2019;11/11/2018 01:01;27714f5b94794603a65f67dae0a42b27;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/02/2019;13/03/2019;11/11/2018 01:01;ffee67b2b2e84883bdc5c339496980ce;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/03/2019;13/04/2019;11/11/2018 01:01;9510c0a1cd004516b64e945841ea4e9d;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f866c89fd60166ca9584cf43ed;191.67;Charge;14/04/2019;13/05/2019;11/11/2018 01:01;13304134d58640c5a1720df444d697a8;2c92c0f866c89fd60166ca95848343e5;;1;;Recurring;A-S00017546;C-00056139
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/09/2018;26/10/2018;11/11/2018 01:01;b2ff4ba2e9ac427eb0370a2c0103ace2;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/10/2018;26/11/2018;11/11/2018 01:01;00cec0d3c29d4b108c01ee094dbde90c;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/11/2018;26/12/2018;11/11/2018 01:01;8a771876d38847cc86748ee2e510bfd8;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/12/2018;26/01/2019;11/11/2018 01:01;3b51cb7a013b4b93938f2ba9c3ad6278;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/01/2019;26/02/2019;11/11/2018 01:01;6438c021e22e4e5c86da08963ebd1e7a;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/02/2019;26/03/2019;11/11/2018 01:01;657fa63dd1d54b67a7bb34f3b8469f5a;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/03/2019;26/04/2019;11/11/2018 01:01;bfbb08b2a65944f7981b8e3c56eb67d0;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f964cff4f60164da1449132341;4.17;Charge;27/04/2019;26/05/2019;11/11/2018 01:01;bc0ead34f1dd46eea46409b58d88cfb5;2c92c0f964cff4f60164da1448c5233a;;1;;Recurring;A-S00017225;C-00055458
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2153fd3;43.55;Charge;04/10/2018;30/10/2018;11/11/2018 01:01;ba34244f99ed4e00bfeb4ed2fe4e95e1;2c92c0f965f2121e0165f6cbb1e33fcb;;1;;Recurring;A-S00017408;C-00055870
