Account: ID,Rate Plan Charge: ID,Invoice Item: Charge Amount,Invoice Item: Processing Type,Invoice Item: Service Start Date,Invoice Item: Service End Date,Invoice Item: Charge Date,Invoice Item: ID,Subscription: SubscriptionId,Invoice Item: AppliedToInvoiceItemId,Invoice Item: Quantity,Invoice Item: UOM,Invoice Item: ChargeType,Subscription: Subscription Number,Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004,2c92c0f8644618e3016469cfeb9259c5,125,Charge,05/07/2018,05/07/2018,16/11/2018 11:37:00,8cefc8fa76874517b47da1cbd032e688,2c92c0f8644618e3016469cfeb2259ba,,1,,OneTime,A-S00017156,C-00055306
2c92c0f863f7f04801641c85fc741004,2c92c0f8647e229401648487a12f5312,115,Charge,10/07/2018,09/07/2019,16/11/2018 11:37:00,6a818c01999f4fb6bca3a297241471f9,2c92c0f8647e229401648487a0e7530a,,1,,Recurring,A-S00017178,C-00055357
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/11/2018,13/12/2018,16/11/2018 11:37:00,3cba91cf20264724a2ce6bc6fbbbec77,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/12/2018,13/01/2019,16/11/2018 11:37:00,a5c556e1f79c46b7b10160fcee857f00,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/01/2019,13/02/2019,16/11/2018 11:37:00,f78ced0005244ceaa6adb22a8bf2ef7e,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/02/2019,13/03/2019,16/11/2018 11:37:00,775579986b0e41a2afe405f914b0d478,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/03/2019,13/04/2019,16/11/2018 11:37:00,411372258feb439a979ebb7f30cd7c8a,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/04/2019,13/05/2019,16/11/2018 11:37:00,ab87b7e967924a90a8153a14a9d7aaff,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/07/2018,26/08/2018,16/11/2018 11:37:00,8701f69a9e5f40089ca02e7e231cf595,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/08/2018,26/09/2018,16/11/2018 11:37:00,b4c106d1b5ac4b4c81f7aaaf1c039d99,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/09/2018,26/10/2018,16/11/2018 11:37:00,7dbda819d13f4a6b9766ebffef1eef7f,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
